"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Nelson, Kyle","669459","2023","239","157",0.267,0.234,0.033,0.484,0.42,0.064,0.339,0.304,0.03500000000000003,"4.18","3.85","0.329"
"Sandlin, Nick","680704","2023","239","147",0.182,0.215,-0.033,0.388,0.406,-0.018000000000000016,0.284,0.309,-0.025000000000000022,"3.75","3.99","-0.24"
"Jiménez, Joe","641729","2023","238","149",0.233,0.225,0.008000000000000007,0.42,0.408,0.01200000000000001,0.302,0.299,0.0030000000000000027,"3.04","3.71","-0.674"
"Bautista, Félix","642585","2023","237","99",0.144,0.142,0.0020000000000000018,0.215,0.239,-0.023999999999999994,0.218,0.226,-0.008000000000000007,"1.48","2.10","-0.625"
"Fulmer, Michael","605242","2023","237","142",0.235,0.24,-0.0050000000000000044,0.402,0.374,0.028000000000000025,0.32,0.321,-0.0010000000000000009,"4.42","4.33","0.091"
"Davidson, Tucker","656353","2023","236","166",0.306,0.287,0.019000000000000017,0.478,0.444,0.033999999999999975,0.364,0.346,0.018000000000000016,"5.96","5.13","0.831"
"Bido, Osvaldo","674370","2023","236","159",0.27,0.269,0.0010000000000000009,0.377,0.368,0.009000000000000008,0.326,0.328,-0.0020000000000000018,"5.86","4.55","1.312"
"Young, Alex","622065","2023","236","165",0.248,0.246,0.0020000000000000018,0.435,0.393,0.04199999999999998,0.324,0.312,0.01200000000000001,"3.86","4.07","-0.213"
"Raley, Brooks","548384","2023","236","144",0.217,0.213,0.0040000000000000036,0.33,0.323,0.007000000000000006,0.289,0.286,0.0030000000000000027,"2.80","3.38","-0.581"
"Hand, Brad","543272","2023","236","150",0.27,0.259,0.01100000000000001,0.46,0.403,0.056999999999999995,0.344,0.332,0.011999999999999955,"5.53","4.67","0.864"
"Honeywell, Brent","641703","2023","235","161",0.26,0.276,-0.016000000000000014,0.446,0.457,-0.01100000000000001,0.347,0.362,-0.015000000000000013,"4.82","5.70","-0.885"
"Harvey, Hunter","640451","2023","235","153",0.203,0.222,-0.01899999999999999,0.332,0.377,-0.044999999999999984,0.252,0.283,-0.030999999999999972,"2.82","3.31","-0.491"
"Leone, Dominic","608678","2023","235","151",0.244,0.247,-0.0030000000000000027,0.507,0.464,0.04299999999999998,0.352,0.35,0.0020000000000000018,"4.67","5.27","-0.603"
